YEAR,STATIONID,LON,LAT,LENGTH,AGE
1994,108,-165.1,54.7,18,1
1994,108,-165.1,54.7,26,1
1994,108,-165.1,54.7,27,1
1994,108,-165.1,54.7,80,5
1994,230,-166.9,55,22,1
1994,230,-166.9,55,23,1
1994,230,-166.9,55,30,1
1994,230,-166.9,55,51,3
1994,236,-166.3,55,15,1
1994,236,-166.3,55,18,1
1994,236,-166.3,55,21,1
1994,236,-166.3,55,41,3
1994,241,-165.8,55,39,2
1994,241,-165.8,55,42,2
1994,241,-165.8,55,56,3
1994,241,-165.8,55,85,7
1994,248,-165.1,55,36,2
1994,248,-165.1,55,43,3
1994,248,-165.1,55,43,3
1994,248,-165.1,55,65,6
1994,310,-164.6,55.1,20,1
1994,310,-164.6,55.1,23,1
1994,310,-164.6,55.1,55,6
1994,310,-164.6,55.1,55,6
1994,408,-167.6,55.3,18,1
1994,408,-167.6,55.3,20,1
1994,408,-167.6,55.3,26,1
1994,408,-167.6,55.3,61,5
1994,414,-167,55.3,24,1
1994,414,-167,55.3,30,1
1994,414,-167,55.3,35,2
1994,414,-167,55.3,36,2
1994,420,-166.4,55.3,19,1
1994,420,-166.4,55.3,36,2
1994,420,-166.4,55.3,50,3
1994,420,-166.4,55.3,78,8
1994,426,-165.8,55.3,29,2
1994,426,-165.8,55.3,36,3
1994,426,-165.8,55.3,37,2
1994,426,-165.8,55.3,52,3
1994,432,-165.2,55.3,23,1
1994,432,-165.2,55.3,27,1
1994,432,-165.2,55.3,58,5
1994,432,-165.2,55.3,78,7
1994,439,-164.5,55.3,25,1
1994,439,-164.5,55.3,54,3
1994,439,-164.5,55.3,58,4
1994,439,-164.5,55.3,58,4
1994,450,-163.4,55.3,19,1
1994,450,-163.4,55.3,19,1
1994,450,-163.4,55.3,19,1
1994,450,-163.4,55.3,63,6
1994,644,-167,55.6,14,1
1994,644,-167,55.6,17,1
1994,644,-167,55.6,21,1
1994,644,-167,55.6,33,2
1994,726,-168.2,55.7,15,1
1994,726,-168.2,55.7,28,1
1994,726,-168.2,55.7,32,2
1994,726,-168.2,55.7,43,2
1994,744,-166.4,55.7,21,1
1994,744,-166.4,55.7,23,1
1994,744,-166.4,55.7,33,2
1994,744,-166.4,55.7,33,2
1994,750,-165.8,55.7,20,1
1994,750,-165.8,55.7,20,1
1994,750,-165.8,55.7,40,3
1994,750,-165.8,55.7,64,6
1994,756,-165.2,55.7,20,1
1994,756,-165.2,55.7,24,1
1994,756,-165.2,55.7,35,3
1994,756,-165.2,55.7,35,3
1994,762,-164.6,55.7,23,1
1994,762,-164.6,55.7,26,1
1994,762,-164.6,55.7,26,1
1994,762,-164.6,55.7,85,7
1994,768,-164,55.7,17,1
1994,768,-164,55.7,25,1
1994,768,-164,55.7,27,2
1994,768,-164,55.7,34,2
1994,774,-163.4,55.7,18,1
1994,774,-163.4,55.7,19,1
1994,774,-163.4,55.7,28,2
1994,774,-163.4,55.7,29,2
1994,780,-162.8,55.7,20,1
1994,780,-162.8,55.7,32,2
1994,780,-162.8,55.7,40,3
1994,780,-162.8,55.7,49,3
1994,1057,-168.2,56,13,1
1994,1057,-168.2,56,20,1
1994,1057,-168.2,56,55,5
1994,1057,-168.2,56,66,5
1994,1063,-167.6,56,27,1
1994,1063,-167.6,56,58,4
1994,1063,-167.6,56,58,4
1994,1063,-167.6,56,65,6
1994,1069,-167,56,16,1
1994,1069,-167,56,16,1
1994,1069,-167,56,23,1
1994,1069,-167,56,33,2
1994,1075,-166.4,56,15,1
1994,1075,-166.4,56,23,1
1994,1075,-166.4,56,60,6
1994,1075,-166.4,56,75,6
1994,1081,-165.8,56,10,1
1994,1081,-165.8,56,15,1
1994,1081,-165.8,56,26,1
1994,1081,-165.8,56,72,6
1994,1087,-165.2,56,18,1
1994,1087,-165.2,56,19,1
1994,1087,-165.2,56,36,2
1994,1087,-165.2,56,57,5
1994,1093,-164.6,56,18,1
1994,1093,-164.6,56,19,1
1994,1093,-164.6,56,25,1
1994,1093,-164.6,56,26,1
1994,1098,-164.1,56,14,1
1994,1098,-164.1,56,43,4
1994,1098,-164.1,56,47,5
1994,1098,-164.1,56,72,9
1994,1105,-163.4,56,19,1
1994,1105,-163.4,56,29,2
1994,1105,-163.4,56,39,3
1994,1105,-163.4,56,41,2
1994,1111,-162.8,56,17,1
1994,1111,-162.8,56,21,1
1994,1111,-162.8,56,34,3
1994,1111,-162.8,56,40,3
