YEAR,STATIONID,LON,LAT,NUMBER_FISH
1994,108,-165.1,54.7,36
1994,230,-166.9,55,73
1994,236,-166.3,55,35
1994,241,-165.8,55,58
1994,248,-165.1,55,46
1994,310,-164.6,55.1,22
1994,408,-167.6,55.3,40
1994,414,-167,55.3,77
1994,420,-166.4,55.3,76
1994,426,-165.8,55.3,68
1994,432,-165.2,55.3,60
1994,439,-164.5,55.3,47
1994,444,-164,55.3,49
1994,450,-163.4,55.3,178
1994,644,-167,55.6,57
1994,726,-168.2,55.7,125
1994,732,-167.6,55.7,26
1994,744,-166.4,55.7,88
1994,750,-165.8,55.7,37
1994,756,-165.2,55.7,16
1994,762,-164.6,55.7,36
1994,768,-164,55.7,75
1994,774,-163.4,55.7,81
1994,780,-162.8,55.7,90
1994,1057,-168.2,56,63
1994,1063,-167.6,56,50
1994,1069,-167,56,33
1994,1075,-166.4,56,62
1994,1081,-165.8,56,45
1994,1087,-165.2,56,14
1994,1093,-164.6,56,46
1994,1098,-164.1,56,107
1994,1105,-163.4,56,71
1994,1111,-162.8,56,63
1994,1116,-162.3,56,105
1994,1421,-170.7,56.3,33
1994,1427,-170.1,56.3,73
1994,1435,-169.3,56.3,59
1994,1440,-168.8,56.3,54
1994,1446,-168.2,56.3,111
1994,1458,-167,56.3,22
1994,1464,-166.4,56.3,17
1994,1470,-165.8,56.3,15
1994,1476,-165.2,56.3,25
1994,1482,-164.6,56.3,80
1994,1488,-164,56.3,92
1994,1494,-163.4,56.3,63
1994,1506,-162.2,56.3,67
1994,1512,-161.6,56.3,28
1994,1518,-161,56.3,52
1994,1593,-167.7,56.4,82
1994,1642,-162.8,56.4,35
1994,1898,-167.1,56.6,71
1994,1959,-161,56.6,89
1994,1997,-172.6,56.7,46
1994,2004,-171.9,56.7,76
1994,2009,-171.4,56.7,50
1994,2016,-170.7,56.7,28
1994,2022,-170.1,56.7,49
1994,2028,-169.5,56.7,105
1994,2034,-168.9,56.7,152
1994,2040,-168.3,56.7,68
1994,2046,-167.7,56.7,104
1994,2059,-166.4,56.7,27
1994,2065,-165.8,56.7,13
1994,2071,-165.2,56.7,28
1994,2077,-164.6,56.7,109
1994,2083,-164,56.7,56
1994,2089,-163.4,56.7,66
1994,2095,-162.8,56.7,37
1994,2101,-162.2,56.7,49
1994,2107,-161.6,56.7,82
1994,2119,-160.4,56.7,68
1994,2126,-159.7,56.7,87
1994,2469,-173.3,57,18
1994,2475,-172.7,57,46
1994,2482,-172,57,45
1994,2488,-171.4,57,20
1994,2494,-170.8,57,20
1994,2500,-170.2,57,79
1994,2507,-169.5,57,84
1994,2513,-168.9,57,113
1994,2519,-168.3,57,64
1994,2525,-167.7,57,61
1994,2531,-167.1,57,114
1994,2537,-166.5,57,55
1994,2544,-165.8,57,83
1994,2550,-165.2,57,47
1994,2556,-164.6,57,71
1994,2562,-164,57,40
1994,2568,-163.4,57,51
1994,2574,-162.8,57,77
1994,2580,-162.2,57,61
1994,2586,-161.6,57,33
1994,2592,-161,57,66
1994,2598,-160.4,57,75
1994,2605,-159.7,57,77
1994,2611,-159.1,57,90
1994,2958,-173.3,57.3,196
1994,2970,-172.1,57.3,63
1994,2976,-171.5,57.3,8
1994,2989,-170.2,57.3,80
1994,2995,-169.6,57.3,85
1994,3001,-169,57.3,188
1994,3007,-168.4,57.3,102
1994,3014,-167.7,57.3,48
1994,3020,-167.1,57.3,97
1994,3026,-166.5,57.3,99
1994,3032,-165.9,57.3,68
1994,3038,-165.3,57.3,23
1994,3045,-164.6,57.3,39
1994,3051,-164,57.3,25
1994,3057,-163.4,57.3,43
1994,3063,-162.8,57.3,132
1994,3076,-161.5,57.3,73
1994,3082,-160.9,57.3,57
1994,3088,-160.3,57.3,111
1994,3094,-159.7,57.3,71
1994,3100,-159.1,57.3,38
1994,3107,-158.4,57.3,52
1994,3128,-172.8,57.4,110
1994,3147,-170.9,57.4,34
1994,3235,-162.1,57.4,88
1994,3466,-172.2,57.6,95
1994,3573,-161.5,57.6,112
1994,3621,-173.4,57.7,109
1994,3627,-172.8,57.7,103
1994,3640,-171.5,57.7,24
1994,3646,-170.9,57.7,80
1994,3652,-170.3,57.7,79
1994,3658,-169.7,57.7,93
1994,3665,-169,57.7,230
1994,3671,-168.4,57.7,107
1994,3678,-167.7,57.7,123
1994,3684,-167.1,57.7,107
1994,3690,-166.5,57.7,34
1994,3696,-165.9,57.7,26
1994,3702,-165.3,57.7,19
1994,3709,-164.6,57.7,42
1994,3715,-164,57.7,37
1994,3721,-163.4,57.7,29
1994,3727,-162.8,57.7,74
1994,3734,-162.1,57.7,96
1994,3746,-160.9,57.7,169
1994,3752,-160.3,57.7,109
1994,3759,-159.6,57.7,109
1994,3765,-159,57.7,68
1994,3771,-158.4,57.7,61
1994,4144,-173.5,58,141
